antecedents,consequents,support,confidence,lift
frozenset({'risk_high'}),"frozenset({'risk_medium_or_high', 'tg_high', 'phlegm_high'})",0.07,0.5737704918032788,8.196721311475411
frozenset({'risk_high'}),"frozenset({'risk_medium_or_high', 'tc_high', 'phlegm_high'})",0.064,0.5245901639344263,8.196721311475411
"frozenset({'tg_high', 'phlegm_high'})",frozenset({'risk_high'}),0.07,1.0,8.19672131147541
"frozenset({'risk_medium_or_high', 'tg_high', 'phlegm_high'})",frozenset({'risk_high'}),0.07,1.0,8.19672131147541
"frozenset({'tg_high', 'phlegm_high'})","frozenset({'risk_medium_or_high', 'risk_high'})",0.07,1.0,8.19672131147541
"frozenset({'tc_high', 'phlegm_high'})",frozenset({'risk_high'}),0.064,1.0,8.19672131147541
"frozenset({'risk_medium_or_high', 'tc_high', 'phlegm_high'})",frozenset({'risk_high'}),0.064,1.0,8.19672131147541
"frozenset({'tc_high', 'phlegm_high'})","frozenset({'risk_medium_or_high', 'risk_high'})",0.064,1.0,8.19672131147541
"frozenset({'tg_high', 'risk_high'})","frozenset({'risk_medium_or_high', 'phlegm_high'})",0.07,0.9090909090909092,6.269592476489029
frozenset({'risk_high'}),"frozenset({'risk_medium_or_high', 'phlegm_high'})",0.11,0.9016393442622951,6.2182023742227255
frozenset({'phlegm_high'}),frozenset({'risk_high'}),0.11,0.7586206896551725,6.2182023742227255
"frozenset({'risk_medium_or_high', 'phlegm_high'})",frozenset({'risk_high'}),0.11,0.7586206896551725,6.2182023742227255
frozenset({'phlegm_high'}),"frozenset({'risk_medium_or_high', 'risk_high'})",0.11,0.7586206896551725,6.2182023742227255
"frozenset({'risk_high', 'tc_high'})","frozenset({'risk_medium_or_high', 'phlegm_high'})",0.064,0.9014084507042255,6.216610004856728
frozenset({'hdl_low'}),"frozenset({'risk_medium_or_high', 'tg_high'})",0.106,0.6666666666666666,1.30718954248366
"frozenset({'risk_high', 'phlegm_high'})","frozenset({'risk_medium_or_high', 'tg_high'})",0.07,0.6363636363636365,1.2477718360071304
frozenset({'risk_high'}),"frozenset({'risk_medium_or_high', 'tg_high'})",0.077,0.6311475409836066,1.2375441980070718
frozenset({'ldl_high'}),"frozenset({'risk_medium_or_high', 'tc_high'})",0.119,0.5920398009950248,1.2334162520729686
frozenset({'ldl_high'}),"frozenset({'risk_medium_or_high', 'tg_high'})",0.125,0.6218905472636815,1.2193932299287873
frozenset({'hdl_low'}),"frozenset({'risk_medium_or_high', 'tc_high'})",0.093,0.5849056603773585,1.2185534591194969
frozenset({'risk_high'}),"frozenset({'risk_medium_or_high', 'tc_high'})",0.071,0.5819672131147541,1.2124316939890711
"frozenset({'risk_high', 'phlegm_high'})","frozenset({'risk_medium_or_high', 'tc_high'})",0.064,0.5818181818181818,1.2121212121212122
frozenset({'tg_high'}),frozenset({'risk_medium_or_high'}),0.51,1.0,1.203369434416366
frozenset({'tc_high'}),frozenset({'risk_medium_or_high'}),0.48,1.0,1.203369434416366
frozenset({'ldl_high'}),frozenset({'risk_medium_or_high'}),0.201,1.0,1.203369434416366
"frozenset({'tg_high', 'tc_high'})",frozenset({'risk_medium_or_high'}),0.197,1.0,1.203369434416366
frozenset({'hdl_low'}),frozenset({'risk_medium_or_high'}),0.159,1.0,1.203369434416366
frozenset({'phlegm_high'}),frozenset({'risk_medium_or_high'}),0.145,1.0,1.203369434416366
"frozenset({'ldl_high', 'tg_high'})",frozenset({'risk_medium_or_high'}),0.125,1.0,1.203369434416366
frozenset({'risk_high'}),frozenset({'risk_medium_or_high'}),0.122,1.0,1.203369434416366
"frozenset({'ldl_high', 'tc_high'})",frozenset({'risk_medium_or_high'}),0.119,1.0,1.203369434416366
"frozenset({'risk_high', 'phlegm_high'})",frozenset({'risk_medium_or_high'}),0.11,1.0,1.203369434416366
"frozenset({'hdl_low', 'tg_high'})",frozenset({'risk_medium_or_high'}),0.106,1.0,1.203369434416366
"frozenset({'hdl_low', 'tc_high'})",frozenset({'risk_medium_or_high'}),0.093,1.0,1.203369434416366
"frozenset({'tg_high', 'activity_low'})",frozenset({'risk_medium_or_high'}),0.087,1.0,1.203369434416366
"frozenset({'activity_low', 'tc_high'})",frozenset({'risk_medium_or_high'}),0.083,1.0,1.203369434416366
"frozenset({'tg_high', 'risk_high'})",frozenset({'risk_medium_or_high'}),0.077,1.0,1.203369434416366
"frozenset({'risk_high', 'tc_high'})",frozenset({'risk_medium_or_high'}),0.071,1.0,1.203369434416366
"frozenset({'tg_high', 'phlegm_high'})",frozenset({'risk_medium_or_high'}),0.07,1.0,1.203369434416366
"frozenset({'tg_high', 'risk_high', 'phlegm_high'})",frozenset({'risk_medium_or_high'}),0.07,1.0,1.203369434416366
"frozenset({'tc_high', 'phlegm_high'})",frozenset({'risk_medium_or_high'}),0.064,1.0,1.203369434416366
"frozenset({'tc_high', 'risk_high', 'phlegm_high'})",frozenset({'risk_medium_or_high'}),0.064,1.0,1.203369434416366
frozenset({'activity_low'}),"frozenset({'risk_medium_or_high', 'tc_high'})",0.083,0.5123456790123457,1.0673868312757204
frozenset({'activity_low'}),"frozenset({'risk_medium_or_high', 'tg_high'})",0.087,0.537037037037037,1.0530137981118373
frozenset({'activity_low'}),frozenset({'risk_medium_or_high'}),0.132,0.8148148148148149,0.9805232428577797
